sales_id,transaction_number,sales_date,store_id,store_city,customer_id,first_name,last_name,product_id,product_name,category_name,quantity,price,discount,sales
40380,N98WGWDXUU72IZSD3X57,2018-02-04 15:29:12.39,3,Tangerang,29828,Amelia,Lucas,99,Mustard - Seed,Beverages,8,27.4874,0.2,175.91936
40381,T60GC202UO3J3TU6LD3Y,2018-03-21 05:23:06.63,5,Bandung,9846,Connie,Anderson,86,Longos - Grilled Chicken With,Shell fish,3,18.3791,0.0,55.1373
40382,6LM15KS1D3TRBU27F3UD,2018-02-25 02:55:58.24,4,Depok,11253,Nicolas,Holmes,258,Tea - English Breakfast,Confections,3,31.0939,0.0,93.2817
40383,Z53IE5X7IK18NMKDE7I7,2018-03-15 23:01:03.39,3,Tangerang,23177,Victoria,Mora,371,Creme De Banane - Marie,Grain,6,82.4022,0.0,494.4132
40384,HLARRZSY599LD7GJJQEU,2018-02-01 01:10:46.03,1,Jakarta,11965,Jenna,Pugh,314,Salmon Steak - Cohoe 8 Oz,Shell fish,4,5.6015,0.0,22.406
40385,VJRJN7IU0WC5THKTQN65,2018-04-02 09:27:51.51,1,Jakarta,24870,Armando,Friedman,361,Coffee Decaf Colombian,Shell fish,7,36.4516,0.0,255.1612
40386,DASNAF4UVH3C7M1I84SA,2018-03-31 10:15:32.17,1,Jakarta,8927,Julio,Gould,415,Mussels - Frozen,Snails,3,8.0069,0.0,24.0207
40387,4DXFJPWPS38PKH8ZVDRE,2018-01-28 03:29:42.36,2,Bogor,94275,Myra,Ferrell,423,"Fish - Scallops, Cold Smoked",Shell fish,24,55.8531,0.0,1340.4744
40388,5E8SMVIAHIDV59XU7QQ7,2018-02-04 18:48:13.82,1,Jakarta,18,Lesley,Orr,362,Cumin - Whole,Meat,1,53.3476,0.0,53.3476
40389,3EVNM4SIDQ0W4ZYPNXUE,2018-03-29 14:13:21.69,3,Tangerang,86954,Denise,Bruce,391,Bread - Bistro White,Confections,23,65.0908,0.0,1497.0884
40390,BKUUF8B5ON06U2ZD5ZQP,2018-04-30 16:17:34.16,3,Tangerang,49913,Erick,Sanchez,436,Table Cloth 81x81 White,Meat,13,67.9063,0.0,882.7819
40391,4SCZ0AY5KSWTPRU0S6WH,2018-01-19 21:08:03.3,2,Bogor,81932,Lloyd,Ross,204,Scallop - St. Jaques,Poultry,21,77.809,0.0,1633.989
40392,P30PAXZCIY3OM6RHVFYC,2018-02-25 01:22:20.25,1,Jakarta,32235,Preston,Rice,309,Muffin Batt - Choc Chk,Produce,9,27.6344,0.0,248.7096
40393,4U4C4A5CCSU7EFOC9PCZ,2018-02-15 15:37:08.52,3,Tangerang,40680,Katrina,Roach,264,Juice - V8 Splash,Cereals,11,49.4497,0.2,435.15736
40394,2UT53K2JXRX5DK9VC6NT,2018-02-25 22:03:32,5,Bandung,16926,Tommy,Hurley,298,Pop Shoppe Cream Soda,Dairy,5,95.7387,0.0,478.6935
40395,558G7R34LPLC62ZB71P2,2018-03-09 06:07:08.08,6,Denpasar,24670,Rodolfo,Galvan,331,Cookies Cereal Nut,Cereals,7,67.3505,0.0,471.4535
40396,E1W21UFGWJP6TWPKOVTZ,2018-05-06 00:29:41.53,6,Denpasar,42810,Willie,Spencer,151,"Mushrooms - Black, Dried",Meat,11,93.5613,0.0,1029.1743
40397,C1CT7I9K45XR7Q3CE6XN,2018-03-27 14:42:20.65,4,Depok,38097,Glenn,Glover,104,Tia Maria,Beverages,10,98.2471,0.0,982.471
40398,O5V6D5AQJ5V3E20K8UB5,2018-01-13 07:05:56.3,2,Bogor,5308,Kurt,Schultz,343,Otomegusa Dashi Konbu,Confections,2,51.2061,0.2,81.92976
40399,SESEM5L89OWBQNVGMTDZ,2018-01-24 14:13:01.95,2,Bogor,2339,Karrie,Webster,385,"Pork - Back, Short Cut, Boneless",Snails,1,22.7091,0.0,22.7091
40400,LZ2OSO3R5CLHRWR3RR0O,2018-01-16 02:16:42.92,3,Tangerang,24525,Angelina,Duke,126,Crackers - Trio,Seafood,7,14.1914,0.0,99.3398
40401,9GZROF44L0Y626FQQTHI,2018-01-11 13:51:17.24,6,Denpasar,88237,Lucas,Cortez,74,Carbonated Water - Cherry,Meat,23,13.6241,0.0,313.3543
40402,4CATYR4CV2DABCJ2W49Z,2018-01-24 18:13:37.39,2,Bogor,90465,Penny,Valencia,410,Fenngreek Seed,Seafood,23,18.356,0.0,422.188
40403,JBNAPPCD0XI6253PXQOZ,2018-04-09 14:28:47.05,2,Bogor,97469,Benny,Lara,379,Smoked Paprika,Meat,25,89.3046,0.1,2009.3535
40404,QXLWRUWNTP8ITK0NI81S,2018-01-19 05:04:35.12,6,Denpasar,53169,Josephine,Le,432,Beer - Original Organic Lager,Shell fish,14,32.7153,0.0,458.0142
40405,U5U386FDZDLZVTE2EYVG,2018-02-25 02:27:31.22,6,Denpasar,20686,Kristie,Walsh,188,Cup - Translucent 7 Oz Clear,Grain,6,78.1768,0.0,469.0608
40406,68AN8K32EHM7SVSQSING,2018-04-06 14:48:52.97,6,Denpasar,67014,Xavier,Delgado,33,Beans - Wax,Snails,17,45.5551,0.0,774.4367
40407,UBNJXRMK4A6C9OWJFZMC,2018-02-24 09:07:10.16,5,Bandung,39545,Olivia,Hopkins,167,Knife Plastic - White,Produce,11,78.8615,0.0,867.4765
40408,KWYS3XLBLF7ZFCWN4BTG,2018-04-12 11:29:16.57,3,Tangerang,87475,Joanna,Randolph,32,Lettuce - Treviso,Cereals,23,96.4127,0.0,2217.4921
40409,97GUJ7V6DI14ZAFPQUT1,2018-04-08 01:42:29.15,4,Depok,86162,Clarence,Wright,248,Beef - Inside Round,Meat,22,99.3193,0.2,1748.01968
40410,JUYDTB0WBOTVTAOHYJPP,2018-02-23 03:23:40.92,2,Bogor,79794,Fredrick,Bonilla,209,Sugar - Fine,Cereals,21,32.9885,0.0,692.7585
40411,8X6UF2HYEGZE8QDIHPVV,2018-04-09 18:44:16.75,6,Denpasar,93754,Jocelyn,Franklin,297,Hinge W Undercut,Cereals,24,81.9003,0.0,1965.6072
40412,1T886ZQ7SB3C4BWSIE9J,2018-01-06 06:33:43.99,2,Bogor,25160,Sylvia,Blair,343,Otomegusa Dashi Konbu,Confections,7,51.2061,0.1,322.59843
40413,W8THKKBZGTUUU63YL82Q,2018-03-19 01:14:56.75,2,Bogor,24091,Brandy,Sharp,284,Beer - Rickards Red,Poultry,7,93.4888,0.2,523.53728
40414,L4V23EGQYBLCC5LERLEF,2018-01-10 11:55:22.55,6,Denpasar,19815,Lloyd,Edwards,166,Tray - 16in Rnd Blk,Beverages,6,23.2843,0.0,139.7058
40415,BH9IA5SUX57S7B3YEH5U,2018-01-24 00:10:20.53,1,Jakarta,15543,Jenna,Morse,300,"Beans - Kidney, Canned",Beverages,4,69.5694,0.0,278.2776
40416,II8HH1IJUMNAIANMKT9N,2018-04-23 12:22:36.47,3,Tangerang,46503,Bennie,Adkins,87,Wine - Pinot Noir Latour,Meat,12,3.7847,0.0,45.4164
40417,06EJ5THGD49LZSZ00S4A,2018-01-28 23:28:15.16,1,Jakarta,89556,Kim,Ayala,350,Isomalt,Grain,23,82.83,0.0,1905.09
40418,3IJHO0GBTNV6DHCTYC71,2018-01-18 16:07:03.45,6,Denpasar,82662,Dennis,Peterson,330,Olives - Kalamata,Snails,21,18.7914,0.0,394.6194
40419,GIEPJHOLK05DLXNV1GT1,2018-02-14 14:20:46.83,5,Bandung,25247,Jerry,Blevins,191,"Hickory Smoke, Liquid",Snails,7,10.283,0.0,71.981
40420,JHDELAN61GW86M04S5JS,2018-04-11 01:37:39.39,5,Bandung,26797,Christa,Combs,328,Tuna - Salad Premix,Seafood,7,96.8781,0.0,678.1467
40421,9NPSRKOYWWE0YX10BX60,2018-01-21 06:49:29.21,4,Depok,30122,Randy,Floyd,19,Tea - Earl Grey,Cereals,8,22.5614,0.0,180.4912
40422,IK94EBNQ9A98EAUNLUQY,2018-04-15 03:59:30.78,3,Tangerang,29570,Franklin,Anderson,149,Zucchini - Yellow,Snails,8,98.4644,0.0,787.7152
40423,4KI87OZ3G8CRCQ2GOC91,2018-02-02 14:20:16.96,1,Jakarta,78422,Justin,Moran,174,Guinea Fowl,Produce,20,61.5047,0.2,984.0752
40424,NL4RKN7DP2G26D0QW6MO,2018-02-04 10:32:44.52,4,Depok,30931,Angelo,Singleton,288,"Orange - Canned, Mandarin",Produce,8,78.8405,0.0,630.724
40425,S2WH2JR7XHHX0HYDHN1S,2018-04-23 22:25:33.42,6,Denpasar,57366,Chasity,Newton,112,Browning Caramel Glace,Snails,15,81.7943,0.0,1226.9145
40426,R5WP5C2QR5MDKVI79I3F,2018-03-16 16:06:38.33,6,Denpasar,94752,Latasha,Johnston,192,"Wine - Magnotta, Merlot Sr Vqa",Meat,24,29.5923,0.0,710.2152
40427,RKY55W1CEJKWX0XZSW7P,2018-03-22 11:09:26.38,5,Bandung,72492,Toby,Hatfield,362,Cumin - Whole,Meat,19,53.3476,0.0,1013.6044
40428,6CUKGMF674YCK0KYJ0F0,2018-05-02 09:46:12.39,3,Tangerang,61314,Alma,Conner,394,Rum - Mount Gay Eclipes,Cereals,16,50.1484,0.0,802.3744
40429,CL2HNUL8HMWPPL84LOAM,2018-02-11 20:52:24.16,2,Bogor,20585,Kathy,Jones,256,Soup Knorr Chili With Beans,Seafood,6,95.7024,0.0,574.2144
40430,7FMJC0C18VRP3TQS2TRT,2018-04-09 11:29:37.83,2,Bogor,41492,Randi,Montes,420,Whmis - Spray Bottle Trigger,Poultry,11,69.9163,0.0,769.0793
40431,QH2MVEBUYB5E756GXAT9,2018-03-10 19:31:03.7,3,Tangerang,25998,Amanda,Sutton,191,"Hickory Smoke, Liquid",Snails,7,10.283,0.0,71.981
40432,8Q40MSICIVIS8HXKWHL0,2018-04-04 13:58:15.9,4,Depok,54654,George,Shaw,29,Spinach - Baby,Meat,14,33.5883,0.2,376.18896
40433,9KMBWNJC5IYKRHRXM9MT,2018-04-05 10:02:46.09,4,Depok,71269,Melissa,Stein,135,Wiberg Super Cure,Snails,19,10.9641,0.0,208.3179
40434,GGMMYN9V0S88YZ6IPQ4Y,2018-03-01 07:09:10.3,6,Denpasar,53392,William,Weber,223,Pail With Metal Handle 16l White,Confections,14,94.4399,0.0,1322.1586
40435,CCK7H06MA8Y7PS3ZPXZA,2018-01-25 01:37:55.14,6,Denpasar,40351,Tracie,Ford,26,Squid U5 - Thailand,Produce,11,33.7821,0.0,371.6031
40436,4QPCSHKEWIIUI432EHN3,2018-02-25 11:09:29.24,1,Jakarta,18140,Edgar,Stokes,128,Coffee - Irish Cream,Shell fish,5,4.6797,0.2,18.7188
40437,PK90962J0S4NJ8MUVOIL,2018-03-27 12:27:11.2,5,Bandung,12544,Alicia,Travis,331,Cookies Cereal Nut,Cereals,4,67.3505,0.0,269.402
40438,EPGD7O0WAGB76E5FBJBH,2018-02-25 17:56:28.27,4,Depok,68767,Latanya,Gregory,391,Bread - Bistro White,Confections,18,65.0908,0.0,1171.6344
40439,WQD6YWH7IS5H1BUSN2H2,2018-04-15 22:43:14.82,5,Bandung,90039,Moses,Knapp,127,Island Oasis - Mango Daiquiri,Grain,23,54.1413,0.2,996.19992
40440,PCSGCTGEK563CHZ368SJ,2018-05-05 18:38:58.54,2,Bogor,56615,Deborah,Gibson,329,"Pork - Loin, Center Cut",Seafood,15,39.3496,0.0,590.244
40441,RN6Q53ANNGTF86EKQL20,2018-02-05 01:08:22,4,Depok,68142,Anthony,Cobb,248,Beef - Inside Round,Meat,18,99.3193,0.0,1787.7474
40443,WODO3BKJFNPIWT17CF9F,2018-02-24 16:00:25.79,3,Tangerang,12616,Marianne,Freeman,115,Ocean Spray - Ruby Red,Produce,4,45.0466,0.0,180.1864
